event_type,fields
START,186230477 RIGHT SAMPLES EVENTS
INPUT,186230477 127
SFIX,R 186230507
EFIX,R 186230507 186230823 317 1727.8 1253.2 2189
SSACC,R 186230824
ESACC,R 186230824 186230858 35 1727.1 1248.8 1264.8 1094.3 7.75 461
SFIX,R 186230859
EFIX,R 186230859 186231019 161 1240.4 1094.7 2399
SSACC,R 186231020
ESACC,R 186231020 186231041 22 1236.1 1101.7 1105.5 1058.0 2.25 204
SFIX,R 186231042
EFIX,R 186231042 186231129 88 1088.6 1047.2 2054
SSACC,R 186231130
ESACC,R 186231130 186231164 35 1077.8 1042.9 1010.1 584.4 7.66 508
SFIX,R 186231165
EFIX,R 186231165 186231328 164 1003.9 569.0 1868
SSACC,R 186231329
ESACC,R 186231329 186231346 18 1007.8 567.2 942.2 542.4 1.19 115
SFIX,R 186231347
EFIX,R 186231347 186231477 131 944.5 538.0 2117
SSACC,R 186231478
ESACC,R 186231478 186231511 34 955.2 535.2 519.1 519.6 7.34 424
SFIX,R 186231512
EFIX,R 186231512 186231793 282 527.8 531.2 2731
SSACC,R 186231794
ESACC,R 186231794 186231813 20 531.4 531.9 602.5 502.6 1.29 109
SFIX,R 186231814
EFIX,R 186231814 186232306 493 597.3 509.4 2756
SSACC,R 186232307
ESACC,R 186232307 186232383 77 593.8 518.7 781.2 1713.6 18.71 451
SFIX,R 186232384
EFIX,R 186232384 186232558 175 781.6 1704.3 2802
SSACC,R 186232559
SBLINK,R 186232579
EBLINK,R 186232579 186232839 261
ESACC,R 186232559 186232874 316 780.2 1700.8 1071.9 512.6 19.03 988
SFIX,R 186232875
EFIX,R 186232875 186233005 131 1062.8 526.9 2867
SSACC,R 186233006
ESACC,R 186233006 186233024 19 1061.4 522.1 1138.1 505.7 1.33 131
SFIX,R 186233025
EFIX,R 186233025 186233181 157 1145.9 510.4 2849
SSACC,R 186233182
ESACC,R 186233182 186233202 21 1146.9 516.8 1052.2 512.5 1.61 111
SFIX,R 186233203
EFIX,R 186233203 186233456 254 1041.7 518.5 2740
SSACC,R 186233457
ESACC,R 186233457 186233482 26 1036.0 519.9 857.9 493.2 3.06 228
SFIX,R 186233483
EFIX,R 186233483 186233640 158 845.2 503.2 2650
SSACC,R 186233641
ESACC,R 186233641 186233665 25 842.6 507.6 1007.4 514.3 2.80 189
SFIX,R 186233666
EFIX,R 186233666 186233900 235 1037.7 528.3 2656
SSACC,R 186233901
SBLINK,R 186234008
EBLINK,R 186234008 186234288 281
ESACC,R 186233901 186234334 434 1039.2 530.3 1450.5 1181.2 12.58 530
SFIX,R 186234335
EFIX,R 186234335 186234407 73 1459.7 1167.2 2133
SSACC,R 186234408
ESACC,R 186234408 186234446 39 1460.7 1164.8 1490.7 616.6 8.88 594
SFIX,R 186234447
EFIX,R 186234447 186234585 139 1483.8 602.4 2263
SSACC,R 186234586
ESACC,R 186234586 186234623 38 1481.0 600.3 1693.2 1339.7 12.21 657
SFIX,R 186234624
EFIX,R 186234624 186234853 230 1689.2 1346.4 2512
SSACC,R 186234854
ESACC,R 186234854 186234901 48 1681.9 1344.5 1529.4 434.0 14.69 699
