tracker_time_ms,message
186230466,DISPLAY_COORDS 0 0 1919 1079
186230476,RECCFG CR 1000 2 1 2 1 R
186230476,ELCLCFG MTABLER
186230476,GAZE_COORDS 0.00 0.00 1919.00 1079.00
186230476,THRESHOLDS R 42 174
186230476,ELCL_WINDOW_SIZES 176 188 0 0
186230476,CAMERA_LENS_FOCAL_LENGTH 38.00 
186230476,PUPIL_DATA_TYPE RAW_AUTOSLIP
186230476,ELCL_PROC ELLIPSE  (5)
186230476,ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
186230477,!MODE RECORD CR 1000 2 1 2 1 R
186230581,FINEVISION_SESSION_START
186230582,FINEVISION_SESSION_ID SaccadeMultiStim_20260807_141246 HOST_FILE F81115AF.EDF
186257873,TRIALID 1
186257874,!V TRIAL_VAR Subject_ID Monkey_H18
186257874,!V TRIAL_VAR Planned_Fixation_Duration_ms 745.9081619114132
186257874,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186257874,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186257874,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186257874,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186257874,!V TRIAL_VAR Stim_Pos_X_deg 12.0
186257874,!V TRIAL_VAR Stim_Pos_Y_deg -4.0
186257874,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186257874,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186257874,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186257874,!V TRIAL_VAR Stim_Orientation_deg 0.0
186257874,!V TRIAL_VAR Gap_Duration_ms 100.0
186257874,!V TRIAL_VAR Stim_Duration_ms 200.0
186257874,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186257874,!V TRIAL_VAR Condition_ID C000001
186257875,!V TRIAL_VAR Is_Control False
186257875,!V TRIAL_VAR Stim_Color_Name Gray
186257875,!V TRIAL_VAR Stim_Intensity_Level 30
186257875,!V TRIAL_VAR Stim_Pos_X_deg 12.0
186257875,!V TRIAL_VAR Stim_Pos_Y_deg -4.0
186257879,FIX_ON TRIAL 1
186258382,GAZE_ACQUIRED TRIAL 1
186258975,FIX_OFF TRIAL 1
186259082,STIM_ON TRIAL 1
186259289,STIM_OFF TRIAL 1
186259307,TARGET_ENTER TRIAL 1
186259411,STIM_WINDOW_END TRIAL 1
186259414,REWARD TRIAL 1
186259678,!V TRIAL_VAR Status Success
186259678,!V TRIAL_VAR Subject_ID Monkey_H18
186259678,TRIAL_RESULT Success
186262741,TRIALID 2
186262741,!V TRIAL_VAR Subject_ID Monkey_H18
186262741,!V TRIAL_VAR Planned_Fixation_Duration_ms 614.5192901585627
186262741,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186262741,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186262741,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186262741,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186262741,!V TRIAL_VAR Stim_Pos_X_deg 0.0
186262741,!V TRIAL_VAR Stim_Pos_Y_deg -1.0
186262741,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186262741,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186262741,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
