event_type,fields
START,100631278 RIGHT SAMPLES EVENTS
INPUT,100631278 127
SFIX,R 100631285
EFIX,R 100631285 100631448 164 247.5 149.5 2069
SSACC,R 100631449
SBLINK,R 100631470
EBLINK,R 100631470 100631471 2
ESACC,R 100631449 100631531 83 247.1 156.6 258.9 119.0 0.66 311
SFIX,R 100631532
EFIX,R 100631532 100631624 93 245.6 154.4 1858
SSACC,R 100631625
ESACC,R 100631625 100631663 39 258.0 160.7 268.7 153.1 0.22 207
SFIX,R 100631664
EFIX,R 100631664 100631901 238 255.9 167.1 2169
SSACC,R 100631902
SBLINK,R 100631927
EBLINK,R 100631927 100631928 2
ESACC,R 100631902 100631948 47 261.9 175.8 146.8 -56.4 4.30 352
SFIX,R 100631949
EFIX,R 100631949 100632302 354 141.6 -32.6 2341
SSACC,R 100632303
ESACC,R 100632303 100632320 18 156.7 -23.4 209.1 -9.3 0.88 71
SFIX,R 100632321
EFIX,R 100632321 100634429 2109 221.9 -32.1 2971
SSACC,R 100634430
ESACC,R 100634430 100634435 6 214.9 -28.1 202.4 -27.3 0.20 37
SFIX,R 100634436
EFIX,R 100634436 100634798 363 191.4 -25.7 2765
SSACC,R 100634799
SBLINK,R 100634826
EBLINK,R 100634826 100634912 87
ESACC,R 100634799 100634939 141 193.9 -22.8 403.6 500.7 9.41 841
SFIX,R 100634940
EFIX,R 100634940 100635286 347 407.4 499.9 2867
SSACC,R 100635287
ESACC,R 100635287 100635315 29 410.0 497.4 305.6 646.2 3.02 162
SFIX,R 100635316
EFIX,R 100635316 100635580 265 249.4 662.6 3093
SSACC,R 100635581
SBLINK,R 100635603
EBLINK,R 100635603 100635680 78
ESACC,R 100635581 100635721 141 254.9 651.9 48.8 41.0 10.62 468
SFIX,R 100635722
EFIX,R 100635722 100637115 1394 40.9 34.7 3428
SSACC,R 100637116
ESACC,R 100637116 100637156 41 27.7 10.8 227.9 47.3 3.27 121
SFIX,R 100637157
EFIX,R 100637157 100637238 82 296.9 44.3 3597
SSACC,R 100637239
SBLINK,R 100637249
EBLINK,R 100637249 100637269 21
ESACC,R 100637239 100637310 72 357.1 -30.7 309.0 72.7 1.91 107
SFIX,R 100637311
EFIX,R 100637311 100637419 109 305.6 53.6 3879
SSACC,R 100637420
ESACC,R 100637420 100637434 15 319.0 53.9 349.1 2.1 1.00 90
SFIX,R 100637435
EFIX,R 100637435 100637475 41 367.0 -24.5 3325
SSACC,R 100637476
ESACC,R 100637476 100637488 13 355.6 -11.8 331.4 42.1 0.99 100
SFIX,R 100637489
EFIX,R 100637489 100637511 23 327.4 38.5 3787
SSACC,R 100637512
SBLINK,R 100637542
EBLINK,R 100637542 100637800 259
ESACC,R 100637512 100637818 307 316.9 45.8 392.1 129.3 1.88 3270
SFIX,R 100637819
EFIX,R 100637819 100637864 46 396.3 129.9 3616
SSACC,R 100637865
ESACC,R 100637865 100637890 26 393.6 129.3 340.9 -43.9 3.05 212
SFIX,R 100637891
EFIX,R 100637891 100638096 206 328.5 -61.9 3579
SSACC,R 100638097
ESACC,R 100638097 100638147 51 325.0 -61.6 678.2 186.2 7.23 201
SFIX,R 100638148
EFIX,R 100638148 100638360 213 697.4 229.4 3352
SSACC,R 100638361
ESACC,R 100638361 100638374 14 701.0 243.8 708.0 269.6 0.46 49
SFIX,R 100638375
EFIX,R 100638375 100638676 302 701.5 246.4 3464
SSACC,R 100638677
ESACC,R 100638677 100638712 36 697.1 228.4 427.0 -61.2 6.68 348
SFIX,R 100638713
EFIX,R 100638713 100639639 927 426.7 -49.7 3536
SSACC,R 100639640
SBLINK,R 100639660
EBLINK,R 100639660 100639756 97
ESACC,R 100639640 100639792 153 427.2 -33.6 669.9 288.6 6.82 673
SFIX,R 100639793
EFIX,R 100639793 100640242 450 669.4 246.5 3364
SSACC,R 100640243
ESACC,R 100640243 100640266 24 668.9 247.4 551.6 207.2 2.09 127
SFIX,R 100640267
EFIX,R 100640267 100641337 1071 540.3 211.4 3739
SSACC,R 100641338
SBLINK,R 100641385
EBLINK,R 100641385 100641466 82
ESACC,R 100641338 100641508 171 531.0 209.6 94.7 -36.0 8.24 575
SFIX,R 100641509
EFIX,R 100641509 100642369 861 95.0 -33.1 3367
SSACC,R 100642370
ESACC,R 100642370 100642395 26 91.8 -29.0 159.2 102.2 2.43 170
SFIX,R 100642396
EFIX,R 100642396 100643186 791 154.5 98.7 3367
SSACC,R 100643187
SBLINK,R 100643207
EBLINK,R 100643207 100643398 192
ESACC,R 100643187 100643448 262 153.8 100.0 109.7 126.8 0.84 728
SFIX,R 100643449
EFIX,R 100643449 100643543 95 111.5 114.2 3043
SSACC,R 100643544
ESACC,R 100643544 100643574 31 110.4 119.1 263.3 -87.1 4.23 236
SFIX,R 100643575
EFIX,R 100643575 100644623 1049 266.8 -117.6 3173
SSACC,R 100644624
ESACC,R 100644624 100644705 82 265.2 -117.9 187.0 570.8 11.50 238
SFIX,R 100644706
EFIX,R 100644706 100644884 179 201.8 617.1 3876
SSACC,R 100644885
ESACC,R 100644885 100644923 39 206.7 619.9 420.4 344.9 5.77 227
SFIX,R 100644924
EFIX,R 100644924 100645282 359 464.8 342.9 3445
SSACC,R 100645283
ESACC,R 100645283 100645331 49 464.2 346.8 108.4 197.1 6.33 192
SFIX,R 100645332
EFIX,R 100645332 100645455 124 65.6 193.3 3941
SSACC,R 100645456
ESACC,R 100645456 100645475 20 62.3 205.5 88.7 128.9 1.34 83
SFIX,R 100645476
EFIX,R 100645476 100645501 26 94.8 119.2 3684
SSACC,R 100645502
ESACC,R 100645502 100645517 16 89.0 145.9 59.2 202.1 1.05 99
SFIX,R 100645518
EFIX,R 100645518 100645650 133 58.0 191.7 4321
SSACC,R 100645651
SBLINK,R 100645718
EBLINK,R 100645718 100645746 29
ESACC,R 100645651 100645755 105 59.3 198.5 106.2 114.4 1.58 170
SFIX,R 100645756
EFIX,R 100645756 100645870 115 106.5 95.4 1298
SSACC,R 100645871
SBLINK,R 100645881
EBLINK,R 100645881 100646195 315
ESACC,R 100645871 100646212 342 157.8 71.2 162.1 109.8 0.65 138
SFIX,R 100646213
EFIX,R 100646213 100646242 30 170.5 155.3 2100
SSACC,R 100646243
ESACC,R 100646243 100646249 7 161.7 196.7 164.5 228.2 0.53 93
SFIX,R 100646250
EFIX,R 100646250 100646518 269 169.6 171.2 2073
SSACC,R 100646519
SBLINK,R 100646560
EBLINK,R 100646560 100646686 127
ESACC,R 100646519 100646695 177 209.4 139.7 143.7 59.5 1.71 96
SFIX,R 100646696
EFIX,R 100646696 100646820 125 152.1 239.5 2490
SSACC,R 100646821
ESACC,R 100646821 100646827 7 175.0 361.1 183.0 390.4 0.51 71
SFIX,R 100646828
EFIX,R 100646828 100646848 21 186.9 405.9 3638
SSACC,R 100646849
ESACC,R 100646849 100646885 37 192.0 430.4 307.1 556.7 2.82 132
SFIX,R 100646886
EFIX,R 100646886 100646997 112 254.6 683.0 3878
SSACC,R 100646998
SBLINK,R 100647012
EBLINK,R 100647012 100647305 294
ESACC,R 100646998 100647314 317 241.9 714.3 246.9 716.6 0.09 32
SFIX,R 100647315
EFIX,R 100647315 100647744 430 351.3 463.1 3863
SSACC,R 100647745
ESACC,R 100647745 100647779 35 326.4 442.8 252.4 802.7 6.07 348
SFIX,R 100647780
EFIX,R 100647780 100647927 148 242.4 800.1 4360
SSACC,R 100647928
SBLINK,R 100647972
EBLINK,R 100647972 100648620 649
ESACC,R 100647928 100648629 702 246.1 803.2 306.0 596.7 3.53 189
SFIX,R 100648630
EFIX,R 100648630 100648685 56 161.6 667.4 1796
SSACC,R 100648686
SBLINK,R 100648696
