tracker_time_ms,message
100631268,DISPLAY_COORDS 0 0 1919 1079
100631277,RECCFG CR 1000 2 1 2 1 R
100631277,ELCLCFG MTABLER
100631277,GAZE_COORDS 0.00 0.00 1919.00 1079.00
100631277,THRESHOLDS R 40 174
100631277,ELCL_WINDOW_SIZES 176 188 0 0
100631277,CAMERA_LENS_FOCAL_LENGTH 38.00 
100631277,PUPIL_DATA_TYPE RAW_AUTOSLIP
100631277,ELCL_PROC ELLIPSE  (5)
100631277,ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
100631278,!MODE RECORD CR 1000 2 1 2 1 R
100631383,FINEVISION_SESSION_START
100631383,FINEVISION_SESSION_ID Calibration_20260806_142607 HOST_FILE F25E2E5F.EDF
100635298,FINEVISION_CUSTOM_CALIBRATION_START POINTS 13 MODEL AFFINE_2D
100638487,CAL_POINT_ONSET POINT 1 TOTAL 13 ATTEMPT 1 TARGET 0.0 0.0 REGION base_9
100639119,CAL_SAMPLE_START POINT 1 ATTEMPT 1 TARGET 0.0 0.0
100639220,CAL_SAMPLE_END POINT 1 ATTEMPT 1 N 61 TS_START 100639.116 TS_END 100639.216
100639414,CAL_POINT_ACCEPTED POINT 1 ATTEMPT 1 RAW_R 2400.9836065573772 2836.590163934426
100639423,CAL_POINT_OFF POINT 1 ATTEMPT 1 RESULT ACCEPTED
100643232,CAL_POINT_ONSET POINT 2 TOTAL 13 ATTEMPT 1 TARGET -320.0 180.0 REGION base_9
100643991,CAL_SAMPLE_START POINT 2 ATTEMPT 1 TARGET -320.0 180.0
100644091,CAL_SAMPLE_END POINT 2 ATTEMPT 1 N 60 TS_START 100643.988 TS_END 100644.087
100644286,CAL_POINT_ACCEPTED POINT 2 ATTEMPT 1 RAW_R 3135.766666666667 3189.45
100644294,CAL_POINT_OFF POINT 2 ATTEMPT 1 RESULT ACCEPTED
100648101,CAL_POINT_ONSET POINT 3 TOTAL 13 ATTEMPT 1 TARGET 0.0 180.0 REGION base_9
100650473,CAL_POINT_RETRY POINT 3 ATTEMPT 1 REASON BREAK
100650479,CAL_POINT_OFF POINT 3 ATTEMPT 1 RESULT RETRY
100653497,CAL_POINT_ONSET POINT 3 TOTAL 13 ATTEMPT 2 TARGET 0.0 180.0 REGION base_9
100658500,CAL_POINT_RETRY POINT 3 ATTEMPT 2 REASON NOFIX
100658508,CAL_POINT_OFF POINT 3 ATTEMPT 2 RESULT RETRY
100661522,CAL_POINT_ONSET POINT 3 TOTAL 13 ATTEMPT 3 TARGET 0.0 180.0 REGION base_9
100662048,CAL_SAMPLE_START POINT 3 ATTEMPT 3 TARGET 0.0 180.0
100662149,CAL_SAMPLE_END POINT 3 ATTEMPT 3 N 55 TS_START 100662.045 TS_END 100662.144
100662343,CAL_POINT_ACCEPTED POINT 3 ATTEMPT 3 RAW_R 2507.072727272727 3142.327272727273
100662351,CAL_POINT_OFF POINT 3 ATTEMPT 3 RESULT ACCEPTED
100666161,CAL_POINT_ONSET POINT 4 TOTAL 13 ATTEMPT 1 TARGET 320.0 180.0 REGION base_9
100670755,CAL_SAMPLE_START POINT 4 ATTEMPT 1 TARGET 320.0 180.0
100670857,CAL_SAMPLE_END POINT 4 ATTEMPT 1 N 55 TS_START 100670.752 TS_END 100670.851
100671051,CAL_POINT_ACCEPTED POINT 4 ATTEMPT 1 RAW_R 1820.3272727272727 3103.2727272727275
100671059,CAL_POINT_OFF POINT 4 ATTEMPT 1 RESULT ACCEPTED
100674868,CAL_POINT_ONSET POINT 5 TOTAL 13 ATTEMPT 1 TARGET -320.0 0.0 REGION base_9
100678662,CAL_SAMPLE_START POINT 5 ATTEMPT 1 TARGET -320.0 0.0
100678763,CAL_SAMPLE_END POINT 5 ATTEMPT 1 N 53 TS_START 100678.659 TS_END 100678.759
100678957,CAL_POINT_ACCEPTED POINT 5 ATTEMPT 1 RAW_R 3123.4150943396226 2824.132075471698
100678965,CAL_POINT_OFF POINT 5 ATTEMPT 1 RESULT ACCEPTED
100682771,CAL_POINT_ONSET POINT 6 TOTAL 13 ATTEMPT 1 TARGET 320.0 0.0 REGION base_9
100683419,CAL_SAMPLE_START POINT 6 ATTEMPT 1 TARGET 320.0 0.0
100683520,CAL_SAMPLE_END POINT 6 ATTEMPT 1 N 57 TS_START 100683.416 TS_END 100683.516
100683712,CAL_POINT_ACCEPTED POINT 6 ATTEMPT 1 RAW_R 1786.3508771929824 2800.5438596491226
100683720,CAL_POINT_OFF POINT 6 ATTEMPT 1 RESULT ACCEPTED
100687530,CAL_POINT_ONSET POINT 7 TOTAL 13 ATTEMPT 1 TARGET -320.0 -180.0 REGION base_9
100688051,CAL_SAMPLE_START POINT 7 ATTEMPT 1 TARGET -320.0 -180.0
100688152,CAL_SAMPLE_END POINT 7 ATTEMPT 1 N 54 TS_START 100688.048 TS_END 100688.147
100688345,CAL_POINT_ACCEPTED POINT 7 ATTEMPT 1 RAW_R 3084.425925925926 2479.074074074074
100688353,CAL_POINT_OFF POINT 7 ATTEMPT 1 RESULT ACCEPTED
100692161,CAL_POINT_ONSET POINT 8 TOTAL 13 ATTEMPT 1 TARGET 0.0 -180.0 REGION base_9
100692774,CAL_SAMPLE_START POINT 8 ATTEMPT 1 TARGET 0.0 -180.0
100692875,CAL_SAMPLE_END POINT 8 ATTEMPT 1 N 56 TS_START 100692.771 TS_END 100692.871
100693068,CAL_POINT_ACCEPTED POINT 8 ATTEMPT 1 RAW_R 2454.3928571428573 2441.285714285714
100693077,CAL_POINT_OFF POINT 8 ATTEMPT 1 RESULT ACCEPTED
100696883,CAL_POINT_ONSET POINT 9 TOTAL 13 ATTEMPT 1 TARGET 320.0 -180.0 REGION base_9
100697502,CAL_SAMPLE_START POINT 9 ATTEMPT 1 TARGET 320.0 -180.0
100697602,CAL_SAMPLE_END POINT 9 ATTEMPT 1 N 52 TS_START 100697.499 TS_END 100697.598
100697795,CAL_POINT_ACCEPTED POINT 9 ATTEMPT 1 RAW_R 1791.6538461538462 2452.923076923077
100697804,CAL_POINT_OFF POINT 9 ATTEMPT 1 RESULT ACCEPTED
100701613,CAL_POINT_ONSET POINT 10 TOTAL 13 ATTEMPT 1 TARGET 253.0 -134.0 REGION quadrant_4_extra
100703862,CAL_SAMPLE_START POINT 10 ATTEMPT 1 TARGET 253.0 -134.0
100703962,CAL_SAMPLE_END POINT 10 ATTEMPT 1 N 56 TS_START 100703.859 TS_END 100703.958
100704155,CAL_POINT_ACCEPTED POINT 10 ATTEMPT 1 RAW_R 1909.3214285714287 2563.6428571428573
100704164,CAL_POINT_OFF POINT 10 ATTEMPT 1 RESULT ACCEPTED
100707970,CAL_POINT_ONSET POINT 11 TOTAL 13 ATTEMPT 1 TARGET 117.0 -152.0 REGION quadrant_4_extra
100710991,CAL_POINT_RETRY POINT 11 ATTEMPT 1 REASON BREAK
100710997,CAL_POINT_OFF POINT 11 ATTEMPT 1 RESULT RETRY
100714015,CAL_POINT_ONSET POINT 11 TOTAL 13 ATTEMPT 2 TARGET 117.0 -152.0 REGION quadrant_4_extra
100716202,CAL_SAMPLE_START POINT 11 ATTEMPT 2 TARGET 117.0 -152.0
100716303,CAL_SAMPLE_END POINT 11 ATTEMPT 2 N 54 TS_START 100716.199 TS_END 100716.298
100716496,CAL_POINT_ACCEPTED POINT 11 ATTEMPT 2 RAW_R 2233.074074074074 2673.6111111111113
100716505,CAL_POINT_OFF POINT 11 ATTEMPT 2 RESULT ACCEPTED
100720311,CAL_POINT_ONSET POINT 12 TOTAL 13 ATTEMPT 1 TARGET 92.0 -283.0 REGION quadrant_4_extra
100723774,CAL_POINT_RETRY POINT 12 ATTEMPT 1 REASON BREAK
100723779,CAL_POINT_OFF POINT 12 ATTEMPT 1 RESULT RETRY
100726794,CAL_POINT_ONSET POINT 12 TOTAL 13 ATTEMPT 2 TARGET 92.0 -283.0 REGION quadrant_4_extra
100728887,CAL_SAMPLE_START POINT 12 ATTEMPT 2 TARGET 92.0 -283.0
100728988,CAL_SAMPLE_END POINT 12 ATTEMPT 2 N 70 TS_START 100728.884 TS_END 100728.983
100729181,CAL_POINT_ACCEPTED POINT 12 ATTEMPT 2 RAW_R 2291.1857142857143 2439.9
100729190,CAL_POINT_OFF POINT 12 ATTEMPT 2 RESULT ACCEPTED
100733002,CAL_POINT_ONSET POINT 13 TOTAL 13 ATTEMPT 1 TARGET 286.0 -332.0 REGION quadrant_4_extra
100733592,CAL_SAMPLE_START POINT 13 ATTEMPT 1 TARGET 286.0 -332.0
100733693,CAL_SAMPLE_END POINT 13 ATTEMPT 1 N 69 TS_START 100733.589 TS_END 100733.687
100733888,CAL_POINT_ACCEPTED POINT 13 ATTEMPT 1 RAW_R 1904.8115942028985 2196.4202898550725
100733897,CAL_POINT_OFF POINT 13 ATTEMPT 1 RESULT ACCEPTED
