tracker_time_ms,message
100743179,DISPLAY_COORDS 0 0 1919 1079
100743188,RECCFG CR 1000 2 1 2 1 R
100743188,ELCLCFG MTABLER
100743188,GAZE_COORDS 0.00 0.00 1919.00 1079.00
100743188,THRESHOLDS R 40 174
100743188,ELCL_WINDOW_SIZES 176 188 0 0
100743188,CAMERA_LENS_FOCAL_LENGTH 38.00 
100743188,PUPIL_DATA_TYPE RAW_AUTOSLIP
100743188,ELCL_PROC ELLIPSE  (5)
100743188,ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
100743189,!MODE RECORD CR 1000 2 1 2 1 R
100743319,FINEVISION_SESSION_START
100743319,FINEVISION_SESSION_ID SaccadeMultiStim_20260806_142759 HOST_FILE FF6595D9.EDF
100818512,TRIALID 1
100818512,!V TRIAL_VAR Subject_ID Monkey_H18
100818512,!V TRIAL_VAR Planned_Fixation_Duration_ms 410.3796781786311
100818512,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100818512,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100818512,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100818513,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
100818513,!V TRIAL_VAR Stim_Pos_X_deg 18.0
100818513,!V TRIAL_VAR Stim_Pos_Y_deg 0.0
100818513,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
100818513,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100818513,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100818513,!V TRIAL_VAR Stim_Orientation_deg 0.0
100818513,!V TRIAL_VAR Gap_Duration_ms 100.0
100818513,!V TRIAL_VAR Stim_Duration_ms 200.0
100818513,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100818513,!V TRIAL_VAR Condition_ID C000001
100818514,!V TRIAL_VAR Is_Control False
100818514,!V TRIAL_VAR Stim_Color_Name Gray
100818514,!V TRIAL_VAR Stim_Intensity_Level 120
100818514,!V TRIAL_VAR Stim_Pos_X_deg 18.0
100818514,!V TRIAL_VAR Stim_Pos_Y_deg 0.0
100818521,FIX_ON TRIAL 1
100818805,GAZE_ACQUIRED TRIAL 1
100819067,FIX_OFF TRIAL 1
100819175,STIM_ON TRIAL 1
100819306,TARGET_ENTER TRIAL 1
100819382,STIM_OFF TRIAL 1
100819417,STIM_WINDOW_END TRIAL 1
100819420,REWARD TRIAL 1
100819682,!V TRIAL_VAR Status Success
100819682,!V TRIAL_VAR Subject_ID Monkey_H18
100819682,TRIAL_RESULT Success
100822745,TRIALID 2
