event_type,fields
START,100931028 RIGHT SAMPLES EVENTS
INPUT,100931028 127
SFIX,R 100931035
EFIX,R 100931035 100933039 2005 807.7 308.4 2416
SSACC,R 100933040
ESACC,R 100933040 100933056 17 809.7 291.7 817.6 234.8 0.98 98
SFIX,R 100933057
EFIX,R 100933057 100933391 335 813.1 241.6 2725
SSACC,R 100933392
ESACC,R 100933392 100933410 19 811.4 243.9 728.2 250.9 1.42 115
SFIX,R 100933411
EFIX,R 100933411 100933625 215 715.0 251.9 2909
SSACC,R 100933626
ESACC,R 100933626 100933649 24 716.5 250.6 798.2 302.3 1.65 105
SFIX,R 100933650
EFIX,R 100933650 100934445 796 804.7 303.6 2880
SSACC,R 100934446
SBLINK,R 100934467
EBLINK,R 100934467 100934563 97
ESACC,R 100934446 100934605 160 808.2 308.2 602.9 285.0 3.50 545
SFIX,R 100934606
EFIX,R 100934606 100934758 153 604.4 231.4 2983
SSACC,R 100934759
ESACC,R 100934759 100934790 32 599.8 236.2 552.9 -25.4 4.52 239
SFIX,R 100934791
EFIX,R 100934791 100934982 192 547.5 -41.2 2999
SSACC,R 100934983
ESACC,R 100934983 100934989 7 541.3 -37.1 527.3 -34.2 0.24 37
SFIX,R 100934990
EFIX,R 100934990 100935122 133 519.2 -32.0 2554
SSACC,R 100935123
ESACC,R 100935123 100935132 10 520.4 -29.4 552.2 -28.3 0.53 60
SFIX,R 100935133
EFIX,R 100935133 100935364 232 560.7 -24.2 2010
SSACC,R 100935365
ESACC,R 100935365 100935380 16 559.7 -22.0 622.6 -18.3 1.06 93
SFIX,R 100935381
EFIX,R 100935381 100935517 137 625.3 -11.0 1844
SSACC,R 100935518
ESACC,R 100935518 100935541 24 625.1 -8.2 479.4 -27.4 2.46 172
SFIX,R 100935542
EFIX,R 100935542 100935837 296 471.9 -26.0 1962
SSACC,R 100935838
ESACC,R 100935838 100935869 32 473.9 -25.4 191.5 -19.9 4.64 258
SFIX,R 100935870
EFIX,R 100935870 100936056 187 178.4 -19.2 1953
SSACC,R 100936057
ESACC,R 100936057 100936063 7 177.2 -21.7 194.4 -20.3 0.28 41
SFIX,R 100936064
EFIX,R 100936064 100936207 144 199.3 -23.1 1848
SSACC,R 100936208
ESACC,R 100936208 100936241 34 200.8 -24.0 297.9 281.9 5.36 257
SFIX,R 100936242
EFIX,R 100936242 100936406 165 305.2 318.1 2119
SSACC,R 100936407
ESACC,R 100936407 100936419 13 308.9 317.0 357.0 300.3 0.84 84
SFIX,R 100936420
EFIX,R 100936420 100939309 2890 376.9 280.5 2698
SSACC,R 100939310
SBLINK,R 100939328
EBLINK,R 100939328 100939406 79
ESACC,R 100939310 100939442 133 372.2 288.5 810.9 362.0 7.46 321
SFIX,R 100939443
EFIX,R 100939443 100939738 296 810.5 333.7 1992
SSACC,R 100939739
ESACC,R 100939739 100939746 8 803.9 341.5 807.8 315.6 0.45 58
SFIX,R 100939747
EFIX,R 100939747 100940535 789 807.1 315.1 2328
SSACC,R 100940536
ESACC,R 100940536 100940549 14 807.2 319.0 812.8 366.9 0.83 80
SFIX,R 100940550
EFIX,R 100940550 100940766 217 810.1 361.4 2299
SSACC,R 100940767
ESACC,R 100940767 100940782 16 810.5 361.7 798.0 306.9 0.96 93
SFIX,R 100940783
EFIX,R 100940783 100941753 971 804.0 318.1 2354
SSACC,R 100941754
ESACC,R 100941754 100941768 15 806.3 322.8 808.6 269.8 0.91 92
SFIX,R 100941769
EFIX,R 100941769 100942216 448 809.5 274.0 2182
SSACC,R 100942217
ESACC,R 100942217 100942233 17 807.2 270.4 806.1 334.8 1.10 103
SFIX,R 100942234
EFIX,R 100942234 100942464 231 804.8 325.5 2411
SSACC,R 100942465
ESACC,R 100942465 100942479 15 802.3 319.4 775.1 303.7 0.53 43
SFIX,R 100942480
EFIX,R 100942480 100942614 135 760.6 296.3 2477
SSACC,R 100942615
ESACC,R 100942615 100942640 26 760.6 294.5 599.3 295.4 2.73 175
SFIX,R 100942641
EFIX,R 100942641 100942976 336 580.1 301.3 2509
SSACC,R 100942977
ESACC,R 100942977 100943005 29 578.6 301.4 381.2 289.5 3.30 197
SFIX,R 100943006
EFIX,R 100943006 100945765 2760 371.3 285.4 2465
SSACC,R 100945766
SBLINK,R 100945785
EBLINK,R 100945785 100945901 117
ESACC,R 100945766 100945934 169 367.3 285.6 176.1 -6.4 5.81 485
SFIX,R 100945935
EFIX,R 100945935 100946280 346 169.3 -20.7 2313
SSACC,R 100946281
ESACC,R 100946281 100946291 11 160.1 -15.1 196.1 -23.3 0.60 63
SFIX,R 100946292
EFIX,R 100946292 100946608 317 201.8 -23.8 1683
SSACC,R 100946609
ESACC,R 100946609 100946625 17 200.8 -24.0 130.3 -16.9 1.14 95
SFIX,R 100946626
EFIX,R 100946626 100947375 750 102.2 -17.1 1728
SSACC,R 100947376
ESACC,R 100947376 100947403 28 70.9 -17.0 -152.6 -56.6 3.55 200
SFIX,R 100947404
EFIX,R 100947404 100947626 223 -182.8 -52.9 1791
SSACC,R 100947627
ESACC,R 100947627 100947655 29 -182.3 -53.9 -100.6 171.4 3.87 209
SFIX,R 100947656
EFIX,R 100947656 100947844 189 -85.8 230.5 2210
SSACC,R 100947845
ESACC,R 100947845 100947872 28 -82.1 230.5 -171.5 52.7 3.21 195
SFIX,R 100947873
EFIX,R 100947873 100948050 178 -176.3 38.8 2236
SSACC,R 100948051
ESACC,R 100948051 100948092 42 -177.3 39.2 -103.9 400.4 5.99 211
SFIX,R 100948093
EFIX,R 100948093 100948358 266 -79.5 441.9 2511
SSACC,R 100948359
ESACC,R 100948359 100948384 26 -77.2 441.4 38.1 270.1 3.34 272
SFIX,R 100948385
EFIX,R 100948385 100948593 209 40.7 255.1 2725
SSACC,R 100948594
ESACC,R 100948594 100948627 34 41.9 252.4 365.7 284.4 5.27 280
SFIX,R 100948628
EFIX,R 100948628 100948970 343 376.0 286.9 2788
SSACC,R 100948971
ESACC,R 100948971 100949015 45 375.7 286.1 802.3 324.7 7.19 294
SFIX,R 100949016
EFIX,R 100949016 100949424 409 801.0 324.7 2559
SSACC,R 100949425
ESACC,R 100949425 100949440 16 798.9 320.8 780.9 268.5 0.95 94
SFIX,R 100949441
EFIX,R 100949441 100950050 610 780.9 265.8 2788
SSACC,R 100950051
ESACC,R 100950051 100950084 34 782.7 263.2 494.0 274.2 4.87 235
SFIX,R 100950085
EFIX,R 100950085 100950323 239 480.1 277.0 2994
SSACC,R 100950324
ESACC,R 100950324 100950342 19 479.0 278.6 400.6 274.5 1.31 114
SFIX,R 100950343
EFIX,R 100950343 100950601 259 390.9 276.7 2937
SSACC,R 100950602
ESACC,R 100950602 100950642 41 390.3 277.0 816.5 329.3 7.21 310
SFIX,R 100950643
EFIX,R 100950643 100950846 204 819.4 339.8 2625
SSACC,R 100950847
ESACC,R 100950847 100950855 9 813.2 336.5 798.4 311.4 0.50 60
SFIX,R 100950856
EFIX,R 100950856 100951322 467 796.7 309.2 2744
SSACC,R 100951323
ESACC,R 100951323 100951329 7 798.5 305.4 806.9 290.1 0.30 43
SFIX,R 100951330
EFIX,R 100951330 100951826 497 804.8 281.5 2911
SSACC,R 100951827
ESACC,R 100951827 100951835 9 806.4 288.2 816.4 303.0 0.31 40
SFIX,R 100951836
EFIX,R 100951836 100952395 560 814.0 304.6 2885
SSACC,R 100952396
ESACC,R 100952396 100952423 28 815.4 308.5 623.5 258.3 3.36 211
SFIX,R 100952424
EFIX,R 100952424 100953400 977 606.5 253.4 2910
SSACC,R 100953401
ESACC,R 100953401 100953428 28 613.3 242.1 794.4 304.9 3.25 216
SFIX,R 100953429
EFIX,R 100953429 100954267 839 799.8 311.1 2677
SSACC,R 100954268
ESACC,R 100954268 100954280 13 807.5 314.0 802.2 362.3 0.83 80
SFIX,R 100954281
EFIX,R 100954281 100954875 595 799.2 361.7 2560
SSACC,R 100954876
SBLINK,R 100954894
EBLINK,R 100954894 100955003 110
ESACC,R 100954876 100955042 167 797.0 364.4 770.3 285.5 1.42 301
SFIX,R 100955043
